North America,Europe,Japan,Rest of World,Global
2.93,3.6200000000000006,0.18000000000000002,1.28,8.030000000000001
10.219999999999999,3.96,0.14,3.05,17.360000000000003
0.0,0.0,0.0,0.0,0.0
1.2600000000000002,2.2099999999999995,0.07,0.6600000000000001,4.1899999999999995
0.03,0.0,0.08,0.01,0.11999999999999997
0.04,0.0,0.0,0.01,0.05
0.09,0.0,0.03,0.02,0.14
0.0,0.0,0.01,0.0,0.01
28.199999999999992,30.959999999999997,1.6500000000000004,11.709999999999992,72.44000000000001
0.11,0.0,0.060000000000000005,0.02,0.2
0.0,0.04,0.0,0.01,0.04
0.12,0.0,0.1,0.02,0.24000000000000002
0.19,0.0,0.0,0.04,0.24
0.1,0.0,0.0,0.02,0.13
0.05,0.0,0.07,0.01,0.13
0.01,0.04,0.0,0.01,0.07
0.1,0.02,0.0,0.03,0.15
0.0,0.0,0.0,0.0,0.0
0.48,0.79,0.06,0.24,1.57
9.820000000000002,13.830000000000002,0.7100000000000001,4.5600000000000005,28.959999999999994
0.0,0.05,0.0,0.01,0.06
0.22999999999999998,0.16,0.0,0.07,0.47000000000000003
0.0,0.0,0.0,0.0,0.0
2.67,3.2800000000000002,0.25,1.17,7.359999999999999
0.0,0.0,0.0,0.0,0.0
4.26,4.09,3.479999999999998,1.6600000000000006,13.509999999999998
0.14,0.15,0.03,0.06,0.36
0.43000000000000005,1.77,0.09000000000000001,0.39,2.68
0.03,0.0,0.0,0.01,0.04
0.01,0.0,0.08,0.0,0.1
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.15,0.0,0.15
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.9400000000000004,1.7100000000000002,0.8600000000000003,0.7200000000000002,5.240000000000001
0.0,0.09,0.0,0.02,0.11
0.6799999999999999,0.65,0.0,0.27,1.6
0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.03,0.15
15.180000000000001,24.36,0.4,7.6,47.550000000000004
17.05,27.88,1.4200000000000004,8.599999999999998,54.95999999999999
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.8300000000000001,1.4500000000000002,0.05,0.45,2.7699999999999996
0.0,0.0,0.0,0.0,0.0
0.06,0.1,0.0,0.03,0.19
0.07,0.0,0.0,0.02,0.09
0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.05,0.01,0.09
0.1,0.0,0.0,0.03,0.13
0.02,0.0,0.0,0.0,0.02
0.15,0.0,0.0,0.03,0.18
0.03,0.03,0.0,0.01,0.07
0.6200000000000001,0.42,0.0,0.20999999999999996,1.2500000000000002
0.02,0.07,0.0,0.02,0.11
0.29,0.09,0.03,0.08,0.48
0.0,0.01,0.01,0.0,0.01
0.0,0.01,0.01,0.0,0.02
0.0,0.0,0.0,0.0,0.0
0.41,0.06,0.0,0.1,0.57
0.89,0.97,0.04,0.37,2.26
0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.21000000000000002,0.03,0.41
0.12,0.0,0.0,0.03,0.15
0.02,0.02,0.0,0.01,0.05
0.01,0.0,0.02,0.0,0.04
0.29000000000000004,0.28,0.12,0.12999999999999998,0.8000000000000002
0.48,0.9099999999999999,0.06999999999999999,0.27,1.7200000000000002
0.09,0.04,0.06,0.03,0.22
1.9700000000000002,3.6600000000000006,1.6700000000000002,1.0799999999999998,8.39
0.02,0.0,0.0,0.0,0.02
0.0,0.0,0.0,0.0,0.0
0.07,0.05,0.0,0.02,0.14
0.0,0.0,0.01,0.0,0.01
0.07,0.0,0.0,0.02,0.08
0.09,0.01,0.12,0.02,0.22999999999999998
0.47,0.08,0.0,0.11999999999999998,0.6500000000000001
0.0,0.0,0.02,0.0,0.02
0.05,0.0,0.01,0.02,0.08
0.09,0.02,0.0,0.03,0.13
0.06,0.08,0.0,0.03,0.17
0.07,0.1,0.01,0.04,0.21000000000000002
0.22000000000000003,0.44,0.07,0.12000000000000001,0.87
0.31,0.42,0.0,0.14,0.87
1.3600000000000003,0.33000000000000007,0.5800000000000001,0.35000000000000003,2.6299999999999986
8.13,9.129999999999995,4.179999999999998,3.419999999999999,24.869999999999997
0.08,0.0,0.0,0.02,0.1
0.09,0.04,0.0,0.04,0.16
0.05,0.0,0.18,0.01,0.23
0.04,0.0,0.08,0.01,0.14
0.18000000000000002,0.3,0.0,0.09,0.5800000000000001
0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.01,0.05
0.02,0.0,0.0,0.0,0.02
0.6600000000000001,0.13,0.53,0.15000000000000002,1.4900000000000004
0.11,0.02,0.0,0.03,0.16
0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.01,0.04
0.0,0.01,0.0,0.0,0.01
0.16999999999999998,0.02,0.0,0.04,0.23
0.05,0.0,0.0,0.01,0.06
0.01,0.0,0.0,0.0,0.02
0.27,0.38,0.0,0.12,0.77
0.0,0.0,0.0,0.0,0.0
0.0,0.06,0.0,0.01,0.07
0.11000000000000001,0.01,0.0,0.02,0.14
11.5,16.240000000000002,0.8099999999999999,5.379999999999999,33.93
1.4900000000000004,1.6,1.57,0.6100000000000001,5.2700000000000005
0.0,0.0,0.0,0.0,0.0
0.11,0.01,0.0,0.01,0.16
0.21000000000000002,0.33,0.0,0.10999999999999999,0.6400000000000001
15.949999999999996,17.959999999999994,1.6400000000000001,6.720000000000001,42.25999999999999
21.07,22.959999999999994,2.1399999999999997,8.729999999999997,54.85000000000002
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.03,0.0,0.03
9.600000000000001,10.360000000000003,5.9499999999999975,3.9699999999999984,29.920000000000005
0.02,0.0,0.0,0.0,0.02
0.28,0.29,0.14,0.11,0.81
0.15,0.07,0.0,0.05,0.27
0.4700000000000001,0.28,0.0,0.17000000000000004,0.9400000000000002
0.43,0.65,0.0,0.21,1.29
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.01
0.02,0.02,0.0,0.01,0.05
0.0,0.0,0.0,0.0,0.01
0.03,0.01,0.0,0.01,0.05
1.5600000000000005,1.3100000000000003,1.840000000000001,0.6100000000000003,5.269999999999999
0.7,0.53,0.03,0.24000000000000002,1.52
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.0,0.0,0.01
0.0,0.0,0.0,0.0,0.0
0.19,0.03,0.0,0.05,0.27
0.01,0.18999999999999997,0.0,0.03,0.24
0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.01,0.03
0.0,0.01,0.0,0.0,0.01
18.5,29.460000000000008,1.9100000000000004,9.219999999999995,59.15999999999998
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.83,2.42,0.24,1.06,6.5600000000000005
10.160000000000002,12.879999999999999,0.30000000000000004,4.52,27.830000000000005
0.06,0.0,0.0,0.02,0.08
0.06,0.0,0.01,0.01,0.08
0.08,0.04,0.0,0.02,0.14
0.0,0.0,0.03,0.0,0.03
